date,Baseline_V47+I3,Idea_A_VIX_calls,Idea_B_CDaR,Idea_B2_CDaR_comb,Idea_C_VVIX,Idea_D_Dyn_strike,Idea_E_Gap_regime,Idea_G_D+A_combo
2016-12-31,3094705.030737059,3969018.485253497,2762871.983160482,2830670.072036215,3074477.357733039,3322367.9312275727,2935644.888041009,4272114.420806295
2017-01-31,3171785.73873973,4055526.2346073478,2831687.629548648,2901174.385428266,3151054.248765847,3405119.1040077475,3008763.8394768713,4365228.373737155
2017-02-28,3488706.777883928,4447804.484637853,3114626.4702500445,3191056.261754352,3465903.8202009024,3745354.5318788383,3309395.9259048426,4787463.130530226
2017-03-31,3436671.2105994974,4368725.626853752,3068170.4724959875,3143460.2803678354,3414208.3691727105,3689490.95290238,3312016.209069387,4702345.379848538
2017-04-30,3543314.812814176,4490919.0967066325,3163379.10004663,3241005.232232324,3520154.9246436013,3803979.822834164,3414791.728174702,4833870.209535176
2017-05-31,3313887.5586459655,4186916.77193954,2958552.4293561983,3031152.3202949692,3292227.258984536,3557674.685762807,3193686.2570512677,4506652.609139076
2017-06-30,3570513.1438087723,4497167.323436311,3187661.060819587,3265883.0479902886,3547175.4811851345,3833179.006985257,3445871.3548533237,4840595.584937425
2017-07-31,3601495.7558980007,4522573.623157608,3215321.5290866937,3294222.276430789,3577955.583902749,3866440.8639740087,3475772.61755071,4867942.048278184
2017-08-31,3430734.215912849,4295194.476779022,3062870.0784343397,3138029.819947314,3408310.180028339,3683117.2014691075,3310972.121871605,4623198.990095587
2017-09-30,3728387.4612154947,4653325.908146413,3328607.1351610175,3410287.7977574295,3704017.896287435,4002667.394622063,3598234.7125617303,5008679.290906565
2017-10-31,3881474.3821359393,4829893.123425605,3465279.1467407546,3550313.6035456364,3856104.206411466,4167016.1995530464,3745977.585177372,5198730.141789175
2017-11-30,4299896.246891334,5334632.7630863385,3838835.278128235,3933036.428065863,4271791.171066879,4616219.390890852,4154462.7277498986,5742014.453319066
2017-12-31,4661515.34089125,5765836.270617849,4161679.3767974717,4263802.797402232,4631046.640744941,5004441.099066671,4503848.959669914,6206147.012584663
2018-01-31,4872931.916557673,6009099.290736044,4350426.583311895,4457181.671225544,4841081.349777161,5231410.596816473,4708114.795113893,6467986.923740498
2018-02-28,4213153.481301643,5319788.5133958915,3761393.5217378004,3853694.3461763444,4149644.2197408625,4523095.421201339,4070652.0134489574,5726036.669452589
2018-03-31,3858820.7383275945,4892612.217322646,3445054.4937561965,3529592.673963503,3772440.839272882,4171547.2035821793,3723543.345697428,5302126.143980224
2018-04-30,3996223.142008905,5051876.925900609,3565651.1732871323,3653286.297750263,3906767.477959692,4320280.922387282,3856127.985559921,5474964.200541944
