date,equity,peak,dd_pct
2025-01-21,59179931.152548045,95022487.32464807,-37.72007782709636
2025-01-21,59192906.419648044,95022487.32464807,-37.70642288344532
2025-01-22,59107745.9973761,95022487.32464807,-37.796044219057165
2025-01-22,59084092.393049836,95022487.32464807,-37.82093685762328
2025-01-22,59009912.577934414,95022487.32464807,-37.89900239474397
2025-01-22,59055341.05613442,95022487.32464807,-37.85119426060747
2025-01-22,59019549.3083589,95022487.32464807,-37.88886086856863
2025-01-22,59012856.9196589,95022487.32464807,-37.89590382112483
2025-01-22,59004439.5826589,95022487.32464807,-37.90476207903513
2025-01-22,59025719.1773589,95022487.32464807,-37.88236780658539
2025-01-22,59043430.4056589,95022487.32464807,-37.863728820384694
2025-01-23,59037582.6913589,95022487.32464807,-37.869882852408736
2025-01-23,59047771.7154589,95022487.32464807,-37.85916010205052
2025-01-23,59058475.7474589,95022487.32464807,-37.847895366405965
2025-01-23,59063117.1206589,95022487.32464807,-37.84301086660947
2025-01-23,59070651.153158896,95022487.32464807,-37.83508218287142
2025-01-23,59045990.50018573,95022487.32464807,-37.86103462178087
2025-01-24,59044949.46269026,95022487.32464807,-37.86213019139263
2025-01-24,59083898.83879451,95022487.32464807,-37.82114055072876
2025-01-24,59132869.84253747,95022487.32464807,-37.7696043248082
2025-01-24,59030171.19375787,95022487.32464807,-37.87768258256705
2025-01-24,59041956.10760488,95022487.32464807,-37.8652803458136
2025-01-24,59047198.95470488,95022487.32464807,-37.85976286542805
2025-01-24,59063225.46440488,95022487.32464807,-37.842896847550364
2025-01-24,59052427.16740488,95022487.32464807,-37.85426078602853
2025-01-24,59078130.44160488,95022487.32464807,-37.827211110816194
2025-01-24,59058097.78300488,95022487.32464807,-37.848293129571985
2025-01-27,59015083.62250488,95022487.32464807,-37.89356047808186
2025-01-27,59034581.22890488,95022487.32464807,-37.873041538882354
2025-01-27,59044668.11020488,95022487.32464807,-37.862426281816376
2025-01-27,59053841.19730488,95022487.32464807,-37.85277268574847
2025-01-27,58950680.98420488,95022487.32464807,-37.961336685707295
2025-01-27,59041754.30769463,95022487.32464807,-37.86549271650178
2025-01-27,59116496.31696702,95022487.32464807,-37.786835536105066
2025-01-27,59188426.6341631,95022487.32464807,-37.71113733116298
2025-01-28,59240953.5585631,95022487.32464807,-37.655858916675115
2025-01-28,59243104.0525631,95022487.32464807,-37.65359577448578
2025-01-28,59251729.7417631,95022487.32464807,-37.64451825037243
2025-01-28,59287594.9242631,95022487.32464807,-37.60677436099447
2025-01-28,59284484.6724631,95022487.32464807,-37.610047535468816
2025-01-29,59106631.218299806,95022487.32464807,-37.797217393015956
2025-01-29,59090741.660599805,95022487.32464807,-37.813939285009496
2025-01-29,59089359.81609981,95022487.32464807,-37.81539351393878
2025-01-29,59084308.10799981,95022487.32464807,-37.82070984299122
2025-01-29,59092172.93919981,95022487.32464807,-37.8124330324999
2025-01-29,59085514.648899816,95022487.32464807,-37.81944010049765
2025-01-30,59282465.48959095,95022487.32464807,-37.61217248812897
2025-01-30,59331639.92757075,95022487.32464807,-37.56042217158358
2025-01-30,59619806.23779577,95022487.32464807,-37.25716099800424
2025-01-30,59717370.086261325,95022487.32464807,-37.15448651408737
2025-01-30,59805016.55750121,95022487.32464807,-37.062248904119905
2025-01-30,59909018.872945145,95022487.32464807,-36.95279869041565
2025-01-30,59948924.10316191,95022487.32464807,-36.91080312563904
2025-01-30,60007840.5635358,95022487.32464807,-36.84880047549518
2025-01-30,60152874.072613455,95022487.32464807,-36.69616975285145
2025-01-30,60215271.9134076,95022487.32464807,-36.63050335897886
2025-01-30,60270454.61049414,95022487.32464807,-36.572430055869035
